address,type,symbol
4c695c,global,?afxChNil@@3DA
4c6998,global,?classCWnd@CWnd@@2UCRuntimeClass@@A
4c6a20,global,?classCObject@CObject@@2UCRuntimeClass@@A
4c6a58,global,?classCUserException@CUserException@@2UCRuntimeClass@@A
4c6a70,global,?classCDC@CDC@@2UCRuntimeClass@@A
4c6ab8,global,?classCPaintDC@CPaintDC@@2UCRuntimeClass@@A
4c6ad0,global,?classCGdiObject@CGdiObject@@2UCRuntimeClass@@A
4c6b00,global,?classCBrush@CBrush@@2UCRuntimeClass@@A
4c6b30,global,?classCBitmap@CBitmap@@2UCRuntimeClass@@A
4c6de0,global,?classCException@CException@@2UCRuntimeClass@@A
4c6df8,global,?classCMemoryException@CMemoryException@@2UCRuntimeClass@@A
4c7098,global,?classCFrameWnd@CFrameWnd@@2UCRuntimeClass@@A
4c70b0,global,?classCView@CView@@2UCRuntimeClass@@A
4c7150,global,?classCDocument@CDocument@@2UCRuntimeClass@@A
4c71e8,global,?classCObArray@CObArray@@2UCRuntimeClass@@A
4c7238,global,?classCPtrList@CPtrList@@2UCRuntimeClass@@A
4c7268,global,?classCMapPtrToPtr@CMapPtrToPtr@@2UCRuntimeClass@@A
